Date,FTSEMIB.MI
2020-12-01,22233.0
2021-01-01,21573.0
2021-02-01,22849.0
2021-03-01,24649.0
2021-04-01,24141.0
2021-05-01,25171.0
2021-06-01,25102.0
2021-07-01,25363.0
2021-08-01,26009.0
2021-09-01,25684.0
2021-10-01,26876.0
2021-11-01,25814.0
2021-12-01,27347.0
2022-01-01,26814.0
2022-02-01,25416.0
2022-03-01,25021.0
2022-04-01,24252.0
2022-05-01,24505.0
2022-06-01,21294.0
2022-07-01,22405.0
2022-08-01,21559.0
2022-09-01,20649.0
2022-10-01,22652.0
2022-11-01,24610.0
2022-12-01,23707.0
2023-01-01,26600.0
2023-02-01,27478.0
2023-03-01,27114.0
2023-04-01,27077.0
2023-05-01,26051.0
2023-06-01,28231.0
2023-07-01,29645.0
2023-08-01,28832.0
2023-09-01,28243.0
2023-10-01,27742.0
2023-11-01,29737.0
2023-12-01,30352.0
2024-01-01,30744.0
2024-02-01,32581.0
2024-03-01,34750.0
2024-04-01,33747.0
2024-05-01,34492.0
2024-06-01,33154.0
2024-07-01,33764.0
2024-08-01,34373.0
2024-09-01,34125.0
2024-10-01,34281.0
2024-11-01,33415.0
2024-12-01,34186.0
2025-01-01,36472.0
2025-02-01,38655.0
2025-03-01,38052.0
2025-04-01,37605.0
2025-05-01,40087.0
2025-06-01,39792.0
2025-07-01,40988.0
2025-08-01,42196.0
2025-09-01,42725.0
2025-10-01,43175.0
2025-11-01,43357.0
