Date,^GDAXI
2020-12-01,13718.7802734375
2021-01-01,13432.8701171875
2021-02-01,13786.2900390625
2021-03-01,15008.33984375
2021-04-01,15135.91015625
2021-05-01,15421.1298828125
2021-06-01,15531.0400390625
2021-07-01,15544.3896484375
2021-08-01,15835.08984375
2021-09-01,15260.6904296875
2021-10-01,15688.76953125
2021-11-01,15100.1298828125
2021-12-01,15884.8603515625
2022-01-01,15471.2001953125
2022-02-01,14461.01953125
2022-03-01,14414.75
2022-04-01,14097.8798828125
2022-05-01,14388.349609375
2022-06-01,12783.76953125
2022-07-01,13484.0498046875
2022-08-01,12834.9599609375
2022-09-01,12114.3603515625
2022-10-01,13253.740234375
2022-11-01,14397.0400390625
2022-12-01,13923.58984375
2023-01-01,15128.26953125
2023-02-01,15365.1396484375
2023-03-01,15628.83984375
2023-04-01,15922.3798828125
2023-05-01,15664.01953125
2023-06-01,16147.900390625
2023-07-01,16446.830078125
2023-08-01,15947.080078125
2023-09-01,15386.580078125
2023-10-01,14810.33984375
2023-11-01,16215.4296875
2023-12-01,16751.640625
2024-01-01,16903.759765625
2024-02-01,17678.189453125
2024-03-01,18492.490234375
2024-04-01,17932.169921875
2024-05-01,18497.939453125
2024-06-01,18235.44921875
2024-07-01,18508.650390625
2024-08-01,18906.919921875
2024-09-01,19324.9296875
2024-10-01,19077.5390625
2024-11-01,19626.44921875
2024-12-01,19909.140625
2025-01-01,21732.05078125
2025-02-01,22551.4296875
2025-03-01,22163.490234375
2025-04-01,22496.98046875
2025-05-01,23997.48046875
2025-06-01,23909.609375
2025-07-01,24065.470703125
2025-08-01,23902.2109375
2025-09-01,23880.720703125
2025-10-01,23958.30078125
2025-11-01,23836.7890625
