Date,^SSMI
2020-12-01,10703.509765625
2021-01-01,10591.0595703125
2021-02-01,10522.2197265625
2021-03-01,11047.3701171875
2021-04-01,11022.33984375
2021-05-01,11426.150390625
2021-06-01,11942.7197265625
2021-07-01,12116.8203125
2021-08-01,12411.1103515625
2021-09-01,11642.4501953125
2021-10-01,12108.169921875
2021-11-01,12159.6904296875
2021-12-01,12875.66015625
2022-01-01,12226.7001953125
2022-02-01,11986.7802734375
2022-03-01,12161.5302734375
2022-04-01,12128.759765625
2022-05-01,11611.3798828125
2022-06-01,10741.2099609375
2022-07-01,11145.91015625
2022-08-01,10855.0302734375
2022-09-01,10267.5498046875
2022-10-01,10827.9296875
2022-11-01,11127.76953125
2022-12-01,10729.400390625
2023-01-01,11285.7802734375
2023-02-01,11098.349609375
2023-03-01,11106.240234375
2023-04-01,11437.1396484375
2023-05-01,11217.8896484375
2023-06-01,11280.2900390625
2023-07-01,11309.25
2023-08-01,11125.9501953125
2023-09-01,10963.5
2023-10-01,10391.16015625
2023-11-01,10854.3203125
2023-12-01,11137.7900390625
2024-01-01,11333.3798828125
2024-02-01,11438.8603515625
2024-03-01,11730.4296875
2024-04-01,11260.91015625
2024-05-01,12000.8603515625
2024-06-01,11993.830078125
2024-07-01,12317.4404296875
2024-08-01,12436.58984375
2024-09-01,12168.8701171875
2024-10-01,11792.919921875
2024-11-01,11764.2001953125
2024-12-01,11600.900390625
2025-01-01,12597.08984375
2025-02-01,13004.48046875
2025-03-01,12598.1201171875
2025-04-01,12116.98046875
2025-05-01,12227.080078125
2025-06-01,11921.4599609375
2025-07-01,11836.0
2025-08-01,12187.580078125
2025-09-01,12109.419921875
2025-10-01,12234.5
2025-11-01,12833.9599609375
