"Date","Price","Open","High","Low","Change %"
"12/03/2025","1.981","1.986","1.986","1.223","0.15%"
"12/02/2025","1.978","1.991","2.008","1.965","6.32%"
"12/01/2025","1.860","1.869","1.908","1.860","-0.17%"
"11/28/2025","1.863","1.826","1.863","1.825","1.40%"
"11/27/2025","1.838","1.838","1.846","1.829","0.72%"
"11/26/2025","1.825","1.836","1.852","1.825","-0.40%"
"11/25/2025","1.832","1.824","1.855","1.821","-0.39%"
"11/24/2025","1.839","1.801","1.850","1.800","0.82%"
"11/21/2025","1.824","1.809","1.839","1.784","0.60%"
"11/20/2025","1.813","1.774","1.827","1.763","0.45%"
"11/19/2025","1.805","1.793","1.806","1.783","0.67%"
"11/18/2025","1.793","1.793","1.793","1.793","-0.11%"
"11/17/2025","1.795","1.790","1.795","1.790","-0.66%"
"11/14/2025","1.807","1.807","1.829","1.801","-1.20%"
"11/13/2025","1.829","1.807","1.848","1.790","1.35%"
"11/12/2025","1.805","1.796","1.814","1.793","0.32%"
"11/11/2025","1.799","1.808","1.816","1.799","-0.96%"
"11/10/2025","1.816","1.799","1.816","1.782","1.42%"
"11/07/2025","1.791","1.774","1.814","1.765","-0.48%"
"11/06/2025","1.800","1.814","1.814","1.786","0.11%"
"11/05/2025","1.798","1.800","1.870","1.787","-0.67%"
"11/04/2025","1.810","1.807","1.819","1.801","1.38%"
"11/03/2025","1.785","1.846","1.882","1.745","-2.54%"
