"Date","Price","Open","High","Low","Change %"
"11/28/2025","1.891","1.886","1.895","1.886","0.05%"
"11/27/2025","1.890","1.881","1.890","1.876","0.64%"
"11/26/2025","1.878","1.874","1.878","1.869","0.27%"
"11/25/2025","1.873","1.886","1.891","1.873","-0.64%"
"11/24/2025","1.885","1.885","1.888","1.885","0.27%"
"11/21/2025","1.880","1.885","1.885","1.867","0.00%"
"11/20/2025","1.880","1.888","1.901","1.880","-0.32%"
"11/19/2025","1.886","1.877","1.890","1.877","1.18%"
"11/18/2025","1.864","1.876","1.876","1.864","-0.59%"
"11/17/2025","1.875","1.852","1.875","1.846","0.05%"
"11/14/2025","1.874","1.868","1.874","1.857","0.37%"
"11/13/2025","1.867","1.862","1.878","1.856","0.43%"
"11/12/2025","1.859","1.844","1.859","1.838","0.27%"
"11/11/2025","1.854","1.859","1.864","1.854","-0.75%"
"11/10/2025","1.868","1.853","1.868","1.848","0.86%"
"11/07/2025","1.852","1.863","1.868","1.852","-0.27%"
"11/06/2025","1.857","1.847","1.857","1.847","0.65%"
"11/05/2025","1.845","1.850","1.850","1.845","0.00%"
"11/04/2025","1.845","1.845","1.845","1.845","0.27%"
"11/03/2025","1.840","1.840","1.840","1.840","-0.22%"
"10/31/2025","1.844","1.844","1.844","1.844","0.49%"
"10/30/2025","1.835","1.835","1.835","1.835","0.05%"
"10/29/2025","1.834","1.825","1.834","1.825","0.49%"
"10/28/2025","1.825","1.834","1.834","1.825","-0.49%"
"10/27/2025","1.834","1.842","1.842","1.834","-0.43%"
"10/24/2025","1.842","1.842","1.842","1.842","-0.43%"
"10/23/2025","1.850","1.842","1.850","1.842","0.49%"
"10/22/2025","1.841","1.849","1.849","1.841","0.05%"
"10/21/2025","1.840","1.840","1.840","1.840","-0.43%"
"10/20/2025","1.848","1.840","1.848","1.840","0.43%"
"10/17/2025","1.840","1.828","1.840","1.828","0.88%"
"10/16/2025","1.824","1.840","1.840","1.824","-1.88%"
"10/15/2025","1.859","1.853","1.859","1.853","0.38%"
"10/14/2025","1.852","1.864","1.864","1.852","-0.59%"
"10/13/2025","1.863","1.863","1.869","1.863","-0.27%"
"10/10/2025","1.868","1.868","1.868","1.868","0.05%"
"10/09/2025","1.867","1.867","1.867","1.867","0.11%"
"10/08/2025","1.865","1.865","1.865","1.865","-0.21%"
"10/07/2025","1.869","1.869","1.869","1.869","-0.27%"
"10/06/2025","1.874","1.874","1.874","1.874","-0.21%"
"10/03/2025","1.878","1.883","1.883","1.878","-0.21%"
"10/02/2025","1.882","1.877","1.882","1.877","0.16%"
"10/01/2025","1.879","1.879","1.879","1.879","0.05%"
"09/30/2025","1.878","1.883","1.883","1.878","-0.21%"
"09/29/2025","1.882","1.878","1.882","1.868","0.27%"
"09/26/2025","1.877","1.882","1.882","1.877","-0.21%"
"09/25/2025","1.881","1.885","1.885","1.881","-0.32%"
"09/24/2025","1.887","1.909","1.909","1.887","-0.21%"
"09/23/2025","1.891","2.031","2.031","1.891","-6.94%"
"09/22/2025","2.032","2.032","2.032","2.032","-0.10%"
"09/19/2025","2.034","2.034","2.034","2.034","-0.10%"
"09/18/2025","2.036","2.036","2.036","2.036","1.80%"
"09/17/2025","2.000","2.024","2.024","2.000","-0.10%"
"09/16/2025","2.002","2.018","2.018","2.002","-1.09%"
"09/15/2025","2.024","2.001","2.024","2.001","1.30%"
"09/12/2025","1.998","2.027","2.027","1.998","-0.15%"
"09/11/2025","2.001","2.001","2.001","2.001","0.15%"
"09/10/2025","1.998","2.035","2.035","1.998","-1.91%"
"09/09/2025","2.037","2.032","2.037","2.032","0.15%"
"09/08/2025","2.034","2.029","2.034","2.029","0.15%"
"09/05/2025","2.031","2.031","2.031","2.031","-0.10%"
"09/04/2025","2.033","2.033","2.033","2.033","-0.05%"
"09/03/2025","2.034","2.034","2.034","2.034","0.59%"
"09/02/2025","2.022","2.022","2.022","2.022","-0.10%"
"09/01/2025","2.024","2.024","2.024","2.024","-0.10%"
"08/29/2025","2.026","2.026","2.026","2.026","-0.10%"
"08/28/2025","2.028","2.028","2.028","2.028","-0.05%"
"08/27/2025","2.029","2.029","2.029","2.029","-0.10%"
"08/26/2025","2.031","2.026","2.031","2.026","0.15%"
"08/25/2025","2.028","2.050","2.050","2.028","-0.10%"
"08/22/2025","2.030","2.030","2.030","2.030","-0.10%"
"08/21/2025","2.032","2.032","2.032","2.032","-0.83%"
"08/20/2025","2.049","2.029","2.049","2.029","0.94%"
"08/19/2025","2.030","2.030","2.030","2.030","0.10%"
"08/18/2025","2.028","2.032","2.032","2.028","-0.10%"
"08/15/2025","2.030","2.030","2.030","2.030","0.15%"
"08/14/2025","2.027","2.027","2.027","2.027","-0.44%"
"08/13/2025","2.036","2.044","2.044","2.036","-1.02%"
"08/12/2025","2.057","2.057","2.057","2.057","-0.10%"
"08/11/2025","2.059","2.059","2.059","2.059","-0.10%"
"08/08/2025","2.061","2.055","2.061","2.055","0.19%"
"08/07/2025","2.057","2.057","2.057","2.057","-0.53%"
"08/06/2025","2.068","2.062","2.068","2.062","0.19%"
"08/05/2025","2.064","2.069","2.069","2.064","-0.34%"
"08/04/2025","2.071","2.055","2.071","2.055","0.44%"
"08/01/2025","2.062","2.062","2.062","2.062","-0.05%"
"07/31/2025","2.063","2.069","2.069","2.063","-0.24%"
"07/30/2025","2.068","2.073","2.073","2.068","-0.05%"
"07/29/2025","2.069","2.069","2.069","2.069","-0.10%"
"07/28/2025","2.071","2.071","2.071","2.071","0.15%"
"07/25/2025","2.068","2.068","2.068","2.068","-0.05%"
"07/24/2025","2.069","2.069","2.069","2.069","-0.19%"
"07/23/2025","2.073","2.069","2.073","2.069","0.14%"
"07/22/2025","2.070","2.061","2.070","2.061","0.15%"
"07/21/2025","2.067","2.071","2.071","2.067","-0.05%"
"07/18/2025","2.068","2.068","2.068","2.068","0.10%"
"07/17/2025","2.066","2.057","2.066","2.057","0.44%"
"07/16/2025","2.057","2.061","2.061","2.057","-0.29%"
"07/15/2025","2.063","2.075","2.075","2.063","-0.63%"
"07/14/2025","2.076","2.052","2.076","2.052","1.12%"
"07/11/2025","2.053","2.081","2.081","2.053","-2.05%"
"07/10/2025","2.096","2.096","2.096","2.096","-0.14%"
"07/09/2025","2.099","2.099","2.099","2.099","-0.10%"
"07/08/2025","2.101","2.101","2.101","2.101","-0.52%"
"07/07/2025","2.112","2.096","2.112","2.096","3.12%"
"07/04/2025","2.048","2.098","2.098","2.098","-0.05%"
"07/03/2025","2.049","2.104","2.104","2.099","-0.15%"
"07/02/2025","2.052","2.102","2.102","2.102","-0.05%"
"07/01/2025","2.053","2.103","2.103","2.103","-0.29%"
