"Date","Price","Open","High","Low","Change %"
"11/28/2025","-0.100","-0.050","-0.030","-0.220","-33.33%"
"11/27/2025","-0.150","-0.230","-0.080","-0.230","0.00%"
"11/26/2025","-0.150","-0.110","-0.090","-0.240","25.00%"
"11/25/2025","-0.120","-0.100","-0.070","-0.240","0.00%"
"11/24/2025","-0.120","-0.070","-0.040","-0.230","0.00%"
"11/21/2025","-0.120","-0.120","-0.030","-0.220","-7.69%"
"11/20/2025","-0.130","-0.120","-0.030","-0.190","62.50%"
"11/19/2025","-0.080","-0.120","-0.080","-0.190","-42.86%"
"11/18/2025","-0.140","-0.140","-0.120","-0.180","0.00%"
"11/17/2025","-0.140","-0.080","-0.070","-0.180","0.00%"
"11/14/2025","-0.140","-0.080","-0.060","-0.170","0.00%"
"11/13/2025","-0.140","-0.090","-0.060","-0.190","0.00%"
"11/12/2025","-0.140","-0.080","-0.070","-0.180","16.67%"
"11/11/2025","-0.120","-0.070","-0.060","-0.130","-7.69%"
"11/10/2025","-0.130","-0.100","-0.070","-0.130","0.00%"
"11/07/2025","-0.130","-0.080","-0.060","-0.190","0.00%"
"11/06/2025","-0.130","-0.090","-0.070","-0.180","0.00%"
"11/05/2025","-0.130","-0.110","-0.060","-0.200","0.00%"
"11/04/2025","-0.130","-0.120","-0.090","-0.200","0.00%"
"11/03/2025","-0.130","-0.110","-0.100","-0.160","0.00%"
"10/31/2025","-0.130","-0.100","-0.080","-0.130","0.00%"
"10/30/2025","-0.130","-0.130","-0.070","-0.230","0.00%"
"10/29/2025","-0.130","-0.130","-0.110","-0.230","0.00%"
"10/28/2025","-0.130","-0.140","-0.110","-0.220","0.00%"
"10/27/2025","-0.130","-0.130","-0.120","-0.230","-23.53%"
"10/24/2025","-0.170","-0.130","-0.070","-0.170","30.77%"
"10/23/2025","-0.130","-0.130","-0.060","-0.240","0.00%"
"10/22/2025","-0.130","-0.130","-0.090","-0.140","0.00%"
"10/21/2025","-0.130","-0.120","-0.050","-0.130","0.00%"
"10/20/2025","-0.130","-0.110","-0.090","-0.180","0.00%"
"10/17/2025","-0.130","-0.120","-0.080","-0.130","0.00%"
"10/16/2025","-0.130","-0.090","-0.080","-0.130","0.00%"
"10/15/2025","-0.130","-0.090","-0.050","-0.130","0.00%"
"10/14/2025","-0.130","-0.070","-0.070","-0.130","0.00%"
"10/13/2025","-0.130","-0.090","-0.070","-0.130","0.00%"
"10/10/2025","-0.130","-0.130","-0.050","-0.130","0.00%"
"10/09/2025","-0.130","-0.120","-0.050","-0.130","0.00%"
"10/08/2025","-0.130","-0.130","-0.090","-0.130","44.44%"
"10/07/2025","-0.090","-0.090","-0.090","-0.130","-30.77%"
"10/06/2025","-0.130","-0.090","-0.050","-0.130","0.00%"
"10/03/2025","-0.130","-0.130","-0.130","-0.130","44.44%"
"10/02/2025","-0.090","-0.090","-0.050","-0.130","0.00%"
"10/01/2025","-0.090","-0.080","-0.080","-0.090","-30.77%"
"09/30/2025","-0.130","-0.070","-0.010","-0.130","62.50%"
"09/29/2025","-0.080","-0.080","0.080","-0.130","-33.33%"
"09/26/2025","-0.120","-0.040","-0.020","-0.130","50.00%"
"09/25/2025","-0.080","-0.060","-0.030","-0.100","-11.11%"
"09/24/2025","-0.090","-0.070","-0.050","-0.090","0.00%"
"09/23/2025","-0.090","-0.050","-0.050","-0.090","0.00%"
"09/22/2025","-0.090","-0.110","-0.060","-0.140","-30.77%"
"09/19/2025","-0.130","-0.090","-0.040","-0.130","44.44%"
"09/18/2025","-0.090","-0.040","-0.040","-0.130","-10.00%"
"09/17/2025","-0.100","-0.120","-0.030","-0.140","0.00%"
"09/16/2025","-0.100","-0.040","-0.040","-0.100","-23.08%"
"09/15/2025","-0.130","-0.040","-0.030","-0.140","-7.14%"
"09/12/2025","-0.140","-0.120","-0.020","-0.140","16.67%"
"09/11/2025","-0.120","-0.050","-0.010","-0.130","20.00%"
"09/10/2025","-0.100","-0.060","-0.050","-0.140","150.00%"
"09/09/2025","-0.040","-0.040","-0.020","-0.130","-60.00%"
"09/08/2025","-0.100","-0.030","-0.030","-0.120","150.00%"
"09/05/2025","-0.040","-0.060","0.090","-0.080","0.00%"
"09/04/2025","-0.040","-0.060","-0.030","-0.130","-20.00%"
"09/03/2025","-0.050","-0.060","-0.040","-0.130","-37.50%"
"09/02/2025","-0.080","-0.050","-0.050","-0.080","0.00%"
"09/01/2025","-0.080","-0.060","0.120","-0.130","-33.33%"
"08/29/2025","-0.120","-0.050","-0.040","-0.130","0.00%"
"08/28/2025","-0.120","-0.100","-0.040","-0.130","50.00%"
"08/27/2025","-0.080","-0.050","-0.050","-0.120","-38.46%"
"08/26/2025","-0.130","-0.060","-0.040","-0.170","0.00%"
"08/25/2025","-0.130","-0.090","-0.040","-0.130","0.00%"
"08/22/2025","-0.130","-0.060","-0.040","-0.160","44.44%"
"08/21/2025","-0.090","-0.090","-0.030","-0.120","12.50%"
"08/20/2025","-0.080","-0.060","-0.060","-0.130","-11.11%"
"08/19/2025","-0.090","-0.110","-0.060","-0.130","-35.71%"
"08/18/2025","-0.140","-0.070","-0.050","-0.140","40.00%"
"08/15/2025","-0.100","-0.080","-0.050","-0.130","0.00%"
"08/14/2025","-0.100","-0.100","-0.050","-0.120","-23.08%"
"08/13/2025","-0.130","-0.090","-0.080","-0.140","30.00%"
"08/12/2025","-0.100","-0.080","-0.010","-0.130","-23.08%"
"08/11/2025","-0.130","-0.090","-0.080","-0.130","-23.53%"
"08/08/2025","-0.170","-0.090","-0.080","-0.170","30.77%"
"08/07/2025","-0.130","-0.080","-0.060","-0.130","62.50%"
"08/06/2025","-0.080","-0.070","-0.030","-0.130","-38.46%"
"08/05/2025","-0.130","-0.080","-0.060","-0.170","-23.53%"
"08/04/2025","-0.170","-0.090","-0.060","-0.170","0.00%"
"08/01/2025","-0.170","-0.130","0.010","-0.170","70.00%"
"07/31/2025","-0.100","-0.080","-0.050","-0.130","-23.08%"
