"Date","Price","Open","High","Low","Change %"
"11/28/2025","3.942","3.946","3.946","3.942","-0.45%"
"11/27/2025","3.960","3.960","3.960","3.960","0.08%"
"11/26/2025","3.957","3.970","3.970","3.957","-0.35%"
"11/25/2025","3.971","3.963","3.971","3.963","-0.35%"
"11/24/2025","3.985","3.985","3.985","3.985","-0.03%"
"11/21/2025","3.986","3.982","3.986","3.982","-0.10%"
"11/20/2025","3.990","3.990","3.990","3.990","0.08%"
"11/19/2025","3.987","3.991","3.991","3.987","-0.55%"
"11/18/2025","4.009","3.996","4.009","3.996","0.15%"
"11/17/2025","4.003","4.003","4.003","4.003","-0.12%"
"11/14/2025","4.008","4.008","4.008","4.008","-0.07%"
"11/13/2025","4.011","4.011","4.011","4.011","-0.12%"
"11/12/2025","4.016","4.016","4.016","4.016","0.07%"
"11/11/2025","4.013","4.013","4.013","4.013","0.02%"
"11/10/2025","4.012","4.012","4.012","4.007","-0.12%"
"11/07/2025","4.017","4.022","4.022","4.017","-1.01%"
"11/06/2025","4.058","4.020","4.058","4.020","0.95%"
"11/05/2025","4.020","4.025","4.029","4.020","-0.02%"
"11/04/2025","4.021","4.009","4.021","4.009","1.03%"
"11/03/2025","3.980","3.980","3.980","3.980","-0.25%"
"10/31/2025","3.990","3.995","3.995","3.990","-0.42%"
"10/30/2025","4.007","4.007","4.007","4.007","0.30%"
"10/29/2025","3.995","3.978","3.995","3.974","-1.06%"
"10/28/2025","4.038","4.042","4.042","4.038","-0.25%"
"10/27/2025","4.048","4.074","4.074","4.048","-0.98%"
"10/24/2025","4.088","4.075","4.088","4.075","0.42%"
"10/23/2025","4.071","4.071","4.071","4.071","0.00%"
"10/22/2025","4.071","4.071","4.071","4.071","-0.92%"
"10/21/2025","4.109","4.109","4.109","4.109","0.29%"
"10/20/2025","4.097","4.101","4.101","4.097","-0.22%"
"10/17/2025","4.106","4.083","4.106","4.083","0.22%"
"10/16/2025","4.097","4.097","4.097","4.097","0.12%"
"10/15/2025","4.092","4.092","4.092","4.092","-8.07%"
"10/14/2025","4.451","4.419","4.451","4.419","9.50%"
"10/13/2025","4.065","4.065","4.065","4.065","-0.02%"
"10/10/2025","4.066","4.066","4.066","4.066","-0.12%"
"10/09/2025","4.071","4.071","4.071","4.071","0.00%"
"10/08/2025","4.071","4.063","4.071","4.063","0.10%"
"10/07/2025","4.067","3.967","4.067","3.967","0.59%"
"10/06/2025","4.043","4.048","4.048","4.043","-1.73%"
"10/03/2025","4.114","4.114","4.114","4.114","-0.10%"
"10/02/2025","4.118","4.114","4.118","4.114","0.54%"
"10/01/2025","4.096","4.092","4.096","4.092","-0.12%"
"09/30/2025","4.101","4.101","4.101","4.101","-0.65%"
"09/29/2025","4.128","4.128","4.128","4.128","0.34%"
"09/26/2025","4.114","4.114","4.114","4.114","0.00%"
"09/25/2025","4.114","4.114","4.114","4.114","0.00%"
"09/24/2025","4.114","4.114","4.114","4.114","-0.07%"
"09/23/2025","4.117","4.117","4.117","4.117","-0.05%"
"09/22/2025","4.119","4.119","4.119","4.119","-0.10%"
"09/19/2025","4.123","4.123","4.123","4.123","0.22%"
"09/18/2025","4.114","4.114","4.114","4.114","-0.10%"
"09/17/2025","4.118","4.118","4.118","4.118","0.02%"
"09/16/2025","4.117","4.109","4.117","4.109","0.49%"
"09/15/2025","4.097","4.097","4.097","4.097","-0.10%"
"09/12/2025","4.101","4.123","4.123","4.101","-0.41%"
"09/11/2025","4.118","4.118","4.118","4.118","0.10%"
"09/10/2025","4.114","4.092","4.114","4.092","0.64%"
"09/09/2025","4.088","4.088","4.088","4.088","0.12%"
"09/08/2025","4.083","4.083","4.083","4.083","-0.56%"
"09/05/2025","4.106","4.088","4.106","4.088","0.64%"
"09/04/2025","4.080","4.084","4.084","4.080","-0.29%"
"09/03/2025","4.092","4.092","4.092","4.092","-0.51%"
"09/02/2025","4.113","4.109","4.113","4.109","0.17%"
"09/01/2025","4.106","4.101","4.106","4.101","0.76%"
"08/29/2025","4.075","4.079","4.079","4.075","-0.32%"
"08/28/2025","4.088","4.088","4.088","4.088","0.00%"
"08/27/2025","4.088","4.088","4.088","4.088","-0.32%"
"08/26/2025","4.101","4.101","4.101","4.101","0.44%"
"08/25/2025","4.083","4.083","4.083","4.083","-0.44%"
"08/22/2025","4.101","4.119","4.119","4.101","-0.10%"
"08/21/2025","4.105","4.105","4.105","4.097","0.10%"
"08/20/2025","4.101","4.101","4.101","4.101","0.00%"
"08/19/2025","4.101","4.101","4.101","4.101","0.22%"
"08/18/2025","4.092","4.092","4.092","4.092","-0.12%"
"08/15/2025","4.097","4.097","4.097","4.097","-0.10%"
"08/14/2025","4.101","4.097","4.101","4.097","0.32%"
"08/13/2025","4.088","4.088","4.088","4.088","0.00%"
"08/12/2025","4.088","4.076","4.088","4.076","-0.32%"
"08/11/2025","4.101","4.101","4.101","4.101","0.32%"
"08/08/2025","4.088","4.088","4.088","4.088","-0.20%"
"08/07/2025","4.096","4.084","4.096","4.084","0.39%"
"08/06/2025","4.080","4.080","4.080","4.080","-0.10%"
"08/05/2025","4.084","4.088","4.088","4.084","-0.73%"
"08/04/2025","4.114","4.114","4.114","4.114","-0.51%"
"08/01/2025","4.135","4.118","4.135","4.118","0.22%"
"07/31/2025","4.126","4.126","4.126","4.126","0.10%"
"07/30/2025","4.122","4.126","4.126","4.122","-0.19%"
"07/29/2025","4.130","4.130","4.130","4.130","-0.27%"
"07/28/2025","4.141","4.141","4.141","4.141","-0.17%"
"07/25/2025","4.148","4.148","4.148","4.148","0.02%"
"07/24/2025","4.147","4.147","4.147","4.147","-0.10%"
"07/23/2025","4.151","4.168","4.168","4.151","-0.57%"
"07/22/2025","4.175","4.175","4.175","4.175","-0.02%"
"07/21/2025","4.176","4.176","4.176","4.176","0.05%"
"07/18/2025","4.174","4.174","4.174","4.174","-0.17%"
"07/17/2025","4.181","4.185","4.185","4.181","-0.19%"
"07/16/2025","4.189","4.189","4.189","4.189","0.14%"
"07/15/2025","4.183","4.179","4.183","4.179","0.05%"
"07/14/2025","4.181","4.181","4.181","4.181","0.07%"
"07/11/2025","4.178","4.178","4.178","4.178","-0.17%"
"07/10/2025","4.185","4.194","4.194","4.185","-0.29%"
"07/09/2025","4.197","4.197","4.197","4.197","-0.07%"
"07/08/2025","4.200","4.200","4.200","4.200","0.02%"
"07/07/2025","4.199","4.203","4.203","4.199","-0.62%"
"07/04/2025","4.225","4.225","4.225","4.225","1.05%"
"07/03/2025","4.181","4.181","4.181","4.181","-0.19%"
"07/02/2025","4.189","4.189","4.189","4.189","-0.07%"
"07/01/2025","4.192","4.208","4.208","4.192","-0.90%"
"06/30/2025","4.230","4.230","4.230","4.230","-1.76%"
"06/27/2025","4.306","4.293","4.306","4.293","1.44%"
"06/26/2025","4.245","4.245","4.245","4.245","0.14%"
"06/25/2025","4.239","4.239","4.239","4.239","-0.05%"
"06/24/2025","4.241","4.279","4.279","4.241","-0.98%"
"06/23/2025","4.283","4.221","4.283","4.221","1.47%"
"06/20/2025","4.221","4.221","4.221","4.221","0.05%"
"06/19/2025","4.219","4.266","4.266","4.219","-1.24%"
"06/18/2025","4.272","4.264","4.272","4.264","0.33%"
"06/17/2025","4.258","4.262","4.262","4.258","-0.16%"
"06/16/2025","4.265","4.269","4.269","4.265","-0.37%"
"06/13/2025","4.281","4.276","4.281","4.276","-0.05%"
"06/12/2025","4.283","4.295","4.295","4.283","-0.14%"
"06/11/2025","4.289","4.302","4.302","4.289","-0.44%"
"06/10/2025","4.308","4.295","4.308","4.295","0.49%"
"06/09/2025","4.287","4.296","4.296","4.287","-0.56%"
"06/06/2025","4.311","4.302","4.311","4.302","0.47%"
"06/05/2025","4.291","4.291","4.291","4.283","-0.05%"
"06/04/2025","4.293","4.289","4.297","4.289","0.14%"
"06/03/2025","4.287","4.291","4.291","4.287","-0.46%"
"06/02/2025","4.307","4.307","4.307","4.307","0.07%"
"05/30/2025","4.304","4.300","4.308","4.300","-0.05%"
"05/29/2025","4.306","4.297","4.306","4.297","0.05%"
"05/28/2025","4.304","4.304","4.304","4.304","-0.19%"
"05/27/2025","4.312","4.303","4.312","4.303","0.23%"
"05/23/2025","4.302","4.285","4.302","4.276","0.26%"
"05/22/2025","4.291","4.291","4.291","4.291","-0.35%"
"05/21/2025","4.306","4.306","4.306","4.306","0.54%"
"05/20/2025","4.283","4.283","4.283","4.283","-0.60%"
"05/19/2025","4.309","4.309","4.309","4.309","-0.14%"
"05/16/2025","4.315","4.298","4.315","4.298","0.16%"
"05/15/2025","4.308","4.308","4.308","4.308","-0.05%"
"05/14/2025","4.310","4.310","4.310","4.310","-0.14%"
"05/13/2025","4.316","4.308","4.316","4.308","0.05%"
"05/12/2025","4.314","4.327","4.327","4.314","0.07%"
"05/09/2025","4.311","4.315","4.315","4.311","-0.23%"
"05/08/2025","4.321","4.262","4.325","4.262","1.24%"
"05/07/2025","4.268","4.268","4.268","4.268","-0.61%"
"05/06/2025","4.294","4.294","4.294","4.294","0.92%"
"05/02/2025","4.255","4.255","4.255","4.255","-0.93%"
"05/01/2025","4.295","4.295","4.295","4.295","-0.35%"
"04/30/2025","4.310","4.310","4.310","4.310","0.26%"
"04/29/2025","4.299","4.299","4.299","4.299","0.07%"
"04/28/2025","4.296","4.296","4.296","4.296","-1.31%"
"04/25/2025","4.353","4.353","4.353","4.353","0.05%"
"04/24/2025","4.351","4.359","4.359","4.351","-0.11%"
"04/23/2025","4.356","4.364","4.364","4.356","-0.32%"
"04/22/2025","4.370","4.370","4.370","4.370","-0.14%"
"04/17/2025","4.376","4.384","4.384","4.376","-0.21%"
"04/16/2025","4.385","4.385","4.385","4.385","-0.41%"
"04/15/2025","4.403","4.407","4.407","4.403","-0.68%"
"04/14/2025","4.433","4.429","4.433","4.429","-0.43%"
"04/11/2025","4.452","4.422","4.452","4.422","0.09%"
"04/10/2025","4.448","4.448","4.448","4.448","0.84%"
"04/09/2025","4.411","4.390","4.411","4.390","-0.29%"
"04/08/2025","4.424","4.424","4.424","4.424","-0.52%"
"04/07/2025","4.447","4.433","4.451","4.429","-0.87%"
"04/04/2025","4.486","4.473","4.486","4.473","-0.20%"
"04/03/2025","4.495","4.495","4.495","4.495","0.02%"
"04/02/2025","4.494","4.494","4.494","4.494","0.18%"
"04/01/2025","4.486","4.486","4.486","4.486","0.18%"
"03/31/2025","4.478","4.473","4.478","4.473","0.49%"
"03/28/2025","4.456","4.448","4.456","4.448","0.00%"
"03/27/2025","4.456","4.448","4.456","4.448","-0.11%"
"03/26/2025","4.461","4.457","4.461","4.457","0.65%"
"03/25/2025","4.432","4.436","4.436","4.432","-1.03%"
"03/24/2025","4.478","4.469","4.478","4.469","0.20%"
"03/21/2025","4.469","4.469","4.469","4.469","0.95%"
"03/20/2025","4.427","4.427","4.427","4.427","-0.67%"
"03/19/2025","4.457","4.461","4.461","4.457","-0.18%"
"03/18/2025","4.465","4.461","4.465","4.461","0.81%"
"03/17/2025","4.429","4.429","4.429","4.429","0.25%"
"03/14/2025","4.418","4.418","4.418","4.418","-0.20%"
"03/13/2025","4.427","4.431","4.431","4.427","-0.09%"
"03/12/2025","4.431","4.431","4.431","4.431","0.07%"
"03/11/2025","4.428","4.432","4.432","4.428","-0.23%"
"03/10/2025","4.438","4.438","4.438","4.438","-0.31%"
"03/07/2025","4.452","4.439","4.452","4.439","0.18%"
"03/06/2025","4.444","4.448","4.448","4.444","0.00%"
"03/05/2025","4.444","4.448","4.448","4.444","-0.20%"
"03/04/2025","4.453","4.449","4.453","4.449","-0.56%"
"03/03/2025","4.478","4.491","4.491","4.478","-0.18%"
"02/28/2025","4.486","4.482","4.486","4.482","0.85%"
"02/27/2025","4.448","4.482","4.482","4.448","-0.85%"
"02/26/2025","4.486","4.486","4.486","4.486","0.09%"
"02/25/2025","4.482","4.482","4.482","4.482","-0.11%"
"02/24/2025","4.487","4.487","4.487","4.487","0.11%"
