country,asset_type,ticker_yf,currency,local_index_name,msci_ticker
France,index,^FCHI,EUR,CAC 40,^FCHI
France,stock,AC.PA,EUR,CAC 40,^FCHI
France,stock,AI.PA,EUR,CAC 40,^FCHI
France,stock,AIR.PA,EUR,CAC 40,^FCHI
France,stock,ATO.PA,EUR,CAC 40,^FCHI
France,stock,BN.PA,EUR,CAC 40,^FCHI
France,stock,BNP.PA,EUR,CAC 40,^FCHI
France,stock,CA.PA,EUR,CAC 40,^FCHI
France,stock,CO.PA,EUR,CAC 40,^FCHI
France,stock,CS.PA,EUR,CAC 40,^FCHI
France,stock,DSY.PA,EUR,CAC 40,^FCHI
France,stock,EL.PA,EUR,CAC 40,^FCHI
France,stock,EN.PA,EUR,CAC 40,^FCHI
France,stock,ENGI.PA,EUR,CAC 40,^FCHI
France,stock,ENX.PA,EUR,CAC 40,^FCHI
France,stock,ERF.PA,EUR,CAC 40,^FCHI
France,stock,GET.PA,EUR,CAC 40,^FCHI
France,stock,HO.PA,EUR,CAC 40,^FCHI
France,stock,LR.PA,EUR,CAC 40,^FCHI
France,stock,MC.PA,EUR,CAC 40,^FCHI
France,stock,ML.PA,EUR,CAC 40,^FCHI
France,stock,OR.PA,EUR,CAC 40,^FCHI
France,stock,ORA.PA,EUR,CAC 40,^FCHI
France,stock,EMEIS.PA,EUR,CAC 40,^FCHI
France,stock,PUB.PA,EUR,CAC 40,^FCHI
France,stock,RI.PA,EUR,CAC 40,^FCHI
France,stock,RMS.PA,EUR,CAC 40,^FCHI
France,stock,SAF.PA,EUR,CAC 40,^FCHI
France,stock,SAN.PA,EUR,CAC 40,^FCHI
France,stock,SK.PA,EUR,CAC 40,^FCHI
France,stock,SOI.PA,EUR,CAC 40,^FCHI
France,stock,STLAP.PA,EUR,CAC 40,^FCHI
France,stock,STM,EUR,CAC 40,^FCHI
France,stock,SU.PA,EUR,CAC 40,^FCHI
France,stock,SW.PA,EUR,CAC 40,^FCHI
France,stock,TEP.PA,EUR,CAC 40,^FCHI
France,stock,TTE.PA,EUR,CAC 40,^FCHI
France,stock,URW.PA,EUR,CAC 40,^FCHI
France,stock,VIE.PA,EUR,CAC 40,^FCHI
France,stock,WLN.PA,EUR,CAC 40,^FCHI
Germany,index,^GDAXI,EUR,DAX 40,^GDAXI
Germany,stock,1COV.DE,EUR,DAX 40,^GDAXI
Germany,stock,ADS.DE,EUR,DAX 40,^GDAXI
Germany,stock,AFX.DE,EUR,DAX 40,^GDAXI
Germany,stock,ALV.DE,EUR,DAX 40,^GDAXI
Germany,stock,BAYN.DE,EUR,DAX 40,^GDAXI
Germany,stock,BEI.DE,EUR,DAX 40,^GDAXI
Germany,stock,BMW.DE,EUR,DAX 40,^GDAXI
Germany,stock,BNR.DE,EUR,DAX 40,^GDAXI
Germany,stock,CBK.DE,EUR,DAX 40,^GDAXI
Germany,stock,CON.DE,EUR,DAX 40,^GDAXI
Germany,stock,DB1.DE,EUR,DAX 40,^GDAXI
Germany,stock,DBK.DE,EUR,DAX 40,^GDAXI
Germany,stock,DHL.DE,EUR,DAX 40,^GDAXI
Germany,stock,DTE.DE,EUR,DAX 40,^GDAXI
Germany,stock,ENR.DE,EUR,DAX 40,^GDAXI
Germany,stock,EOAN.DE,EUR,DAX 40,^GDAXI
Germany,stock,EVK.DE,EUR,DAX 40,^GDAXI
Germany,stock,FRE.DE,EUR,DAX 40,^GDAXI
Germany,stock,HEI.DE,EUR,DAX 40,^GDAXI
Germany,stock,HEN3.DE,EUR,DAX 40,^GDAXI
Germany,stock,HFG.DE,EUR,DAX 40,^GDAXI
Germany,stock,IFX.DE,EUR,DAX 40,^GDAXI
Germany,stock,LEG.DE,EUR,DAX 40,^GDAXI
Germany,stock,MRK.DE,EUR,DAX 40,^GDAXI
Germany,stock,MTX.DE,EUR,DAX 40,^GDAXI
Germany,stock,MUV2.DE,EUR,DAX 40,^GDAXI
Germany,stock,PAH3.DE,EUR,DAX 40,^GDAXI
Germany,stock,PUM.DE,EUR,DAX 40,^GDAXI
Germany,stock,QIA.DE,EUR,DAX 40,^GDAXI
Germany,stock,RHM.DE,EUR,DAX 40,^GDAXI
Germany,stock,RWE.DE,EUR,DAX 40,^GDAXI
Germany,stock,SAP.DE,EUR,DAX 40,^GDAXI
Germany,stock,SHL.DE,EUR,DAX 40,^GDAXI
Germany,stock,SIE.DE,EUR,DAX 40,^GDAXI
Germany,stock,SRT3.DE,EUR,DAX 40,^GDAXI
Germany,stock,SY1.DE,EUR,DAX 40,^GDAXI
Germany,stock,UTDI.DE,EUR,DAX 40,^GDAXI
Germany,stock,VNA.DE,EUR,DAX 40,^GDAXI
Germany,stock,VOW3.DE,EUR,DAX 40,^GDAXI
Germany,stock,ZAL.DE,EUR,DAX 40,^GDAXI
Italy,index,FTSEMIB.MI,EUR,FTSE MIB 40,FTSEMIB.MI
Italy,stock,AMP.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,CPR.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,DIA.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,ELN.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,ENEL.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,ENI.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,ERG.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,EXO.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,RACE.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,G.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,HER.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,IG.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,INTES.SAN.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,IP.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,ISP.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,ITM.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,LDO.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,MB.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,MED.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,MONC.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,MS.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,NEXI.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,PRY.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,PSN.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,REC.MI,EUR,FTSE MIB 40,^FTSEMIB
Italy,stock,SPM.MI,EUR,FTSE MIB 40,^FTSEMIB
