country,ticker,beta,r_squared,pvalue_beta,category,alpha,pvalue_alpha
UnitedKingdom,OCDO.L,2.090393710333432,0.16812188085687696,1.1443853771076469e-06,top_beta,,
Sweden,KINV-B.ST,1.8956824914814032,0.5507706440341157,3.838409348010127e-18,top_beta,,
Spain,IAG.MC,1.79866435848737,0.30796372970080044,2.3150224050514826e-08,top_beta,,
Germany,ZAL.DE,1.7593868638835428,0.2722731499415644,2.2751423655155003e-06,top_beta,,
Spain,APAM.MC,1.736242419844282,0.43922787552568376,6.047445705073142e-12,top_beta,,
Germany,IFX.DE,1.7198092751496745,0.4464894804985877,4.406310276484938e-12,top_beta,,
Germany,AFX.DE,1.6960750062823815,0.351366576270592,9.31926416200393e-09,top_beta,,
Sweden,SAND.ST,1.6708583615500658,0.66482458346184,1.7612877089279325e-47,top_beta,,
France,STLAP.PA,1.6681004517988387,0.16786851508699063,1.6948861423276577e-12,top_beta,,
UnitedKingdom,TPK.L,1.6668142876099377,0.5104069469032013,9.939823170772023e-18,top_beta,,
Spain,VIS.MC,0.11429087139046547,0.013321488494085654,0.40779768030895935,bottom_beta,,
Spain,CABK.MC,0.18851864289465176,0.010450249811320811,0.42852919713486026,bottom_beta,,
Spain,MAP.MC,0.21243365287005092,0.024845652226113568,0.23490170584902126,bottom_beta,,
UnitedKingdom,PSON.L,0.23892911630395017,0.019607718194938006,0.21612616622079883,bottom_beta,,
Spain,BKT.MC,0.24538767709696038,0.016969344475432635,0.3855411717829411,bottom_beta,,
France,BN.PA,0.25629579104798655,0.05479394221240008,0.024694857109468095,bottom_beta,,
Spain,REP.MC,0.2659467278415922,0.016043896857368622,0.3517413491324898,bottom_beta,,
Switzerland,ROG.SW,0.2713400989101409,0.03455857836490139,0.10323268643466199,bottom_beta,,
Spain,FAE.MC,0.28294814500453963,0.04632381120801077,0.07843268653473753,bottom_beta,,
UnitedKingdom,SHEL.L,0.2859810019637693,0.03539579379695468,0.10996748245968414,bottom_beta,,
Spain,SAB.MC,,0.08272537256307433,,top_alpha,3.970884773601359,0.0022310565430441252
Italy,LDO.MI,,0.06295310301997392,,top_alpha,3.470981808464833,0.005270613264328244
Italy,UCG.MI,,0.23628968853010734,,top_alpha,3.397268993839643,0.0038874981047586853
UnitedKingdom,RR.L,,0.20060881178011747,,top_alpha,3.3752245055834122,0.010333623949615608
Spain,IDR.MC,,0.07150004335951288,,top_alpha,3.1128583594448376,0.008776469989270208
Germany,CBK.DE,,0.08415940973823488,,top_alpha,3.0758996017941582,0.014917986910622733
Spain,CABK.MC,,0.010450249811320811,,top_alpha,3.0713133154832115,0.0009224891629635798
Italy,UNI.MI,,0.14129453145667892,,top_alpha,2.9361642308838563,0.00028855381418587745
Spain,BKT.MC,,0.016969344475432635,,top_alpha,2.916009640589378,0.0019507742266755784
Spain,UNI.MC,,0.0718763740897107,,top_alpha,2.395694750554268,0.039426535100032446
France,CO.PA,,0.049295749166538894,,bottom_alpha,-11.557014685208934,9.349561858682513e-06
France,EMEIS.PA,,0.017356087782076424,,bottom_alpha,-7.643780407357975,0.005329336755754453
France,ATO.PA,,0.04127850968292179,,bottom_alpha,-6.523090574755368,0.009007928382308763
France,WLN.PA,,0.14495142461090604,,bottom_alpha,-6.517720684262274,0.0005308292474568942
UnitedKingdom,OCDO.L,,0.16812188085687696,,bottom_alpha,-4.104896206749158,0.077998367411767
France,SOI.PA,,0.10205363104296161,,bottom_alpha,-3.0619271472244933,0.047581376634539034
Sweden,KINV-B.ST,,0.5507706440341157,,bottom_alpha,-3.0543176416590283,0.0009322326511055744
Germany,ZAL.DE,,0.2722731499415644,,bottom_alpha,-2.973260248454497,0.051312735152806176
Germany,HFG.DE,,0.010581573371998165,,bottom_alpha,-2.915915444835058,0.1584783502372913
Italy,NEXI.MI,,0.22616081299672397,,bottom_alpha,-2.8867442695326724,0.0012994721344028184
