country,ticker,beta,r_squared,pvalue_beta,category,alpha,pvalue_alpha
UnitedKingdom,OCDO.L,2.1359812034615246,0.20736222519141279,0.0002901804791383942,top_beta,,
Germany,ZAL.DE,1.5109988874114908,0.43567799368133775,1.2940707240235034e-08,top_beta,,
UnitedKingdom,JD.L,1.3672459664906378,0.24307872325249313,7.271451414286658e-05,top_beta,,
UnitedKingdom,TPK.L,1.3518079965723186,0.43833887266987803,1.1277929066083999e-08,top_beta,,
France,STM,1.2849694006046426,0.36555879573424566,3.9518279409613426e-07,top_beta,,
UnitedKingdom,BLND.L,1.2366750093871692,0.4632446081253718,3.0175994737272774e-09,top_beta,,
Germany,ENR.DE,1.2359992067421435,0.24741996259616783,6.123720927774818e-05,top_beta,,
UnitedKingdom,PSN.L,1.1935926434877866,0.3122893591831255,4.225945150795165e-06,top_beta,,
Germany,IFX.DE,1.187749615183664,0.46323981380497825,3.018382309303262e-09,top_beta,,
UnitedKingdom,AAL.L,1.1499320157207973,0.22222044583913225,0.00016416787555092685,top_beta,,
Spain,FAE.MC,0.2249451324217334,0.0609187796267765,0.0594910938850757,bottom_beta,,
Sweden,SCA-B.ST,0.25162989035482897,0.06313206186381348,0.05490881289630437,bottom_beta,,
France,SAN.PA,0.27706858343990215,0.06449683130385431,0.05226612704841318,bottom_beta,,
Germany,DB1.DE,0.2831663964987995,0.10045212326357966,0.014452927477087077,bottom_beta,,
Switzerland,SCMN.SW,0.2850490518043959,0.0918575692175444,0.019628867527097964,bottom_beta,,
France,ORA.PA,0.2939674077861095,0.07898043561881607,0.031072639397205278,bottom_beta,,
France,RI.PA,0.29674059128340546,0.0691977488804153,0.04412168359005042,bottom_beta,,
France,SW.PA,0.2969128954549303,0.05148790761665922,0.08394252545462139,bottom_beta,,
Sweden,SEB-A.ST,0.2988170236349957,0.11930896531515844,0.007375405329061364,bottom_beta,,
UnitedKingdom,IMB.L,0.3026292220105401,0.05598517471339792,0.07118755550282184,bottom_beta,,
UnitedKingdom,RR.L,,0.15056497395866253,,top_alpha,3.4051892262229275,0.0168122814087767
Italy,LDO.MI,,0.09088916513481282,,top_alpha,3.381385670043655,0.009252402864136677
Germany,CBK.DE,,0.15031763861440517,,top_alpha,3.2581807123703452,0.009914648063024287
Spain,SAB.MC,,0.26186592009498555,,top_alpha,3.2427350270807365,0.015553899765467755
Spain,IDR.MC,,0.09641210094144936,,top_alpha,2.9789773411242098,0.018546479844542926
Italy,UCG.MI,,0.41389517372650164,,top_alpha,2.9176877946132542,0.009730666356594147
Italy,UNI.MI,,0.20792008329255052,,top_alpha,2.819687406224473,0.0015415077797555925
Spain,CABK.MC,,0.11362144949732578,,top_alpha,2.6908435080737743,0.0061396724717338305
Spain,BKT.MC,,0.12165165182042237,,top_alpha,2.5461801817612097,0.010308364301407767
Germany,ENR.DE,,0.24741996259616783,,top_alpha,2.342857224298121,0.17061609136763312
France,CO.PA,,0.05355344339429069,,bottom_alpha,-11.271192834068195,0.0001535291664315971
France,WLN.PA,,0.11203709487591895,,bottom_alpha,-6.052458594911049,0.0017711443496341629
UnitedKingdom,OCDO.L,,0.20736222519141279,,bottom_alpha,-4.611218901031671,0.06399385333544942
Italy,NEXI.MI,,0.2887188418262131,,bottom_alpha,-3.0437277315320026,0.0024784295427370253
France,SOI.PA,,0.12590466174341175,,bottom_alpha,-2.842669456641499,0.0924907890516497
Germany,ZAL.DE,,0.43567799368133775,,bottom_alpha,-2.642011732582316,0.05468859422969401
UnitedKingdom,TPK.L,,0.43833887266987803,,bottom_alpha,-2.233674450454112,0.015433198227340128
Germany,PUM.DE,,0.073890527816169,,bottom_alpha,-2.2184904976429416,0.124330314879827
France,TEP.PA,,0.05585252503034632,,bottom_alpha,-2.1984375488661176,0.11462433403626286
UnitedKingdom,JD.L,,0.24307872325249313,,bottom_alpha,-2.108405021164698,0.14044648972739185
